frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
565,15,auto,1456,321,1919,1038,1645,618,1780,756,0.454,244.4,True,,,,no_text,184.9
565,25,auto,1456,321,1919,1038,1849,634,1920,765,0.334,244.4,True,,,,no_text,132.9
570,15,auto,1461,326,1920,1037,1657,625,1776,712,0.634,409.7,True,TN03D9766,0.978,TN03D9766,accepted,209.3
570,15,auto,1461,326,1920,1037,1652,621,1780,757,0.449,409.7,True,TN0309766,0.909,TN03O9766,accepted,241.0
575,15,auto,1447,322,1919,1040,1653,621,1774,719,0.521,362.6,True,TN03D9766,0.984,TN03D9766,accepted,191.9
575,15,auto,1447,322,1919,1040,1646,618,1778,757,0.428,362.6,True,09766,0.915,,rejected,156.1
575,25,auto,1447,322,1919,1040,1846,637,1920,776,0.265,362.6,True,,,,no_text,38.5
580,15,auto,1454,326,1920,1037,1655,623,1776,718,0.673,240.4,True,TN03D9766,0.977,TN03D9766,accepted,194.4
580,15,auto,1454,326,1920,1037,1649,620,1779,756,0.537,240.4,True,TN03D9766,0.921,TN03D9766,accepted,243.4
580,25,auto,1454,326,1920,1037,1846,638,1920,774,0.275,240.4,True,,,,no_text,35.6
585,15,auto,1457,323,1919,1039,1657,624,1774,710,0.635,248.4,True,TN03D9766,0.979,TN03D9766,accepted,190.9
585,15,auto,1457,323,1919,1039,1652,619,1779,758,0.512,248.4,True,TN0309766,0.887,TN03O9766,accepted,242.5
590,15,auto,1455,323,1919,1040,1650,624,1774,714,0.502,317.8,True,TN03D9766,0.974,TN03D9766,accepted,200.1
590,15,auto,1455,323,1919,1040,1643,620,1778,760,0.309,317.8,True,TN03D9766,0.933,TN03D9766,accepted,246.5
590,25,auto,1455,323,1919,1040,1844,666,1920,774,0.255,317.8,True,2020,0.972,,rejected,138.9
595,15,auto,1447,329,1919,1043,1648,629,1765,709,0.395,258.4,True,TN03D9766,0.968,TN03D9766,accepted,195.7
600,15,auto,1434,333,1920,1042,1630,629,1764,756,0.500,301.3,True,TN03D9766,0.959,TN03D9766,accepted,286.3
610,15,auto,1418,332,1919,1041,1619,631,1737,720,0.406,411.3,True,TN03D9766,0.986,TN03D9766,accepted,196.7
615,15,auto,1416,333,1920,1038,1608,627,1737,756,0.597,262.7,True,TN03D976615,0.814,,rejected,332.2
620,15,auto,1412,335,1920,1042,1611,632,1722,712,0.575,240.5,True,TN03D9766,0.983,TN03D9766,accepted,193.0
625,15,auto,1412,336,1920,1044,1610,635,1726,717,0.552,237.3,True,TN03D9766,0.978,TN03D9766,accepted,197.7
630,15,auto,1408,336,1920,1044,1611,637,1720,715,0.519,244.9,True,TN03D9766,0.980,TN03D9766,accepted,193.5
640,15,auto,1413,337,1920,1045,1610,630,1733,735,0.367,262.6,True,TN03D9766,0.969,TN03D9766,accepted,238.1
645,15,auto,1414,339,1920,1049,1616,639,1725,722,0.289,297.2,True,TN03D9766,0.988,TN03D9766,accepted,199.4
660,15,auto,1414,341,1920,1055,1616,641,1726,722,0.481,414.1,True,TN03D9766,0.971,TN03D9766,accepted,211.4
670,15,auto,1416,343,1920,1058,1614,644,1723,727,0.421,428.6,True,TN03D9766,0.974,TN03D9766,accepted,227.5
675,15,auto,1415,345,1920,1061,1617,649,1727,729,0.638,359.9,True,TN03D9766,0.984,TN03D9766,accepted,205.5
680,15,auto,1408,347,1920,1064,1615,645,1729,737,0.650,244.5,True,TN03D9766,0.978,TN03D9766,accepted,193.6
685,15,auto,1411,349,1920,1066,1616,645,1735,746,0.696,241.6,True,TN03D9766,0.981,TN03D9766,accepted,189.1
690,15,auto,1412,335,1920,1047,1616,637,1725,722,0.392,243.6,True,,,,no_text,159.4
695,15,auto,1416,326,1920,1039,1610,627,1736,715,0.564,241.8,True,TN03D9766,0.984,TN03D9766,accepted,192.6
700,15,auto,1417,328,1920,1038,1611,626,1733,725,0.600,247.7,True,TN03D9766A,0.843,,rejected,238.0
700,15,auto,1417,328,1920,1038,1604,621,1737,758,0.427,247.7,True,TN03D9766LPO,0.817,,rejected,304.4
705,15,auto,1408,323,1920,1038,1605,626,1725,710,0.648,408.3,True,TN03D9766,0.978,TN03D9766,accepted,195.8
710,15,auto,1405,326,1920,1039,1606,627,1726,710,0.642,238.7,True,TN03D9766,0.986,TN03D9766,accepted,242.2
710,15,auto,1405,326,1920,1039,1600,620,1731,750,0.269,238.7,True,TN03D9766,0.950,TN03D9766,accepted,238.1
715,15,auto,1413,327,1920,1037,1608,627,1726,709,0.690,245.6,True,TN03D9766,0.973,TN03D9766,accepted,192.8
715,15,auto,1413,327,1920,1037,1603,622,1730,754,0.318,245.6,True,TN03D9766,0.933,TN03D9766,accepted,238.2
720,15,auto,1414,324,1920,1036,1608,625,1725,707,0.632,245.3,True,TN03D9766,0.984,TN03D9766,accepted,251.7
725,15,auto,1415,324,1920,1035,1610,625,1733,708,0.462,406.9,True,TN03D9766,0.985,TN03D9766,accepted,189.4
725,15,auto,1415,324,1920,1035,1599,622,1732,751,0.254,406.9,True,TN03D9766,0.967,TN03D9766,accepted,285.5
730,15,auto,1413,323,1920,1035,1609,625,1723,699,0.552,399.9,True,TN03D9766,0.985,TN03D9766,accepted,316.3
745,15,auto,1415,321,1920,1033,1611,625,1724,696,0.538,241.2,True,TN03D9766,0.982,TN03D9766,accepted,220.2
750,15,auto,1414,321,1920,1031,1611,626,1719,695,0.458,242.2,True,TN03D9766,0.985,TN03D9766,accepted,194.4
755,15,auto,1415,320,1920,1031,1608,626,1721,701,0.339,241.8,True,TN03D9766,0.974,TN03D9766,accepted,246.6
760,15,auto,1415,320,1920,1031,1611,627,1718,693,0.438,233.9,True,TN03D9766,0.985,TN03D9766,accepted,244.2
765,15,auto,1419,321,1920,1033,1611,627,1721,695,0.462,245.1,True,TN03D9766,0.985,TN03D9766,accepted,252.4
770,15,auto,1419,320,1920,1030,1613,625,1722,693,0.431,293.0,True,TN03D9766,0.979,TN03D9766,accepted,200.2
775,15,auto,1422,315,1920,1024,1612,615,1728,693,0.549,249.3,True,TN03D9766,0.989,TN03D9766,accepted,194.0
780,15,auto,1421,312,1919,1022,1614,613,1721,690,0.541,242.6,True,TN03D9766,0.987,TN03D9766,accepted,247.8
785,15,auto,1425,305,1919,1015,1614,606,1732,709,0.735,306.2,True,TN03D9766,0.975,TN03D9766,accepted,194.7
790,15,auto,1425,306,1918,1017,1617,612,1729,689,0.481,274.7,True,TN03D9766,0.981,TN03D9766,accepted,186.0
795,15,auto,1429,301,1918,1012,1625,607,1731,684,0.482,253.8,True,TN03D9766,0.983,TN03D9766,accepted,252.1
795,26,motorcycle,942,415,1111,687,973,471,1045,502,0.325,253.8,True,,,,no_text,70.8
795,26,motorcycle,942,415,1111,687,968,465,1053,505,0.309,253.8,True,,,,no_text,76.5
800,27,motorcycle,704,448,997,876,741,544,850,578,0.611,243.4,True,23C82658,0.524,,rejected,198.2
