frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms,,,
710,15,auto,1405,326,1920,1039,1600,620,1731,750,0.269,254.3,True,TN03D9766,0.95,TN03D9766,accepted,219.4,,,
715,15,auto,1413,327,1920,1037,1608,627,1726,709,0.69,226.2,True,TN03D9766,0.973,TN03D9766,accepted,179.9,,,
715,15,auto,1413,327,1920,1037,1603,622,1730,754,0.318,226.2,True,TN03D9766,0.933,TN03D9766,accepted,220,,,
720,15,auto,1414,324,1920,1036,1608,625,1725,707,0.632,215.7,True,TN03D9766,0.984,TN03D9766,accepted,223.8,,,
725,15,auto,1415,324,1920,1035,1610,625,1733,708,0.462,222.4,True,TN03D9766,0.985,TN03D9766,accepted,180.6,,,
725,15,auto,1415,324,1920,1035,1599,622,1732,751,0.254,222.4,True,TN03D9766,0.967,TN03D9766,accepted,264,,,
730,15,auto,1413,323,1920,1035,1609,625,1723,699,0.552,232,True,TN03D9766,0.985,TN03D9766,accepted,228.9,,,
745,15,auto,1415,321,1920,1033,1611,625,1724,696,0.538,223.8,True,TN03D9766,0.982,TN03D9766,accepted,185.8,,,
750,15,auto,1414,321,1920,1031,1611,626,1719,695,0.458,214.8,True,TN03D9766,0.985,TN03D9766,accepted,183.4,,,
755,15,auto,1415,320,1920,1031,1608,626,1721,701,0.339,260.7,True,TN03D9766,0.974,TN03D9766,accepted,223,,,
760,15,auto,1415,320,1920,1031,1611,627,1718,693,0.438,211,True,TN03D9766,0.985,TN03D9766,accepted,231.3,,,
765,15,auto,1419,321,1920,1033,1611,627,1721,695,0.462,233.2,True,TN03D9766,0.985,TN03D9766,accepted,228.7,,,
770,15,auto,1419,320,1920,1030,1613,625,1722,693,0.431,211,True,TN03D9766,0.979,TN03D9766,accepted,182.2,,,
775,15,auto,1422,315,1920,1024,1612,615,1728,693,0.549,222.4,True,TN03D9766,0.989,TN03D9766,accepted,185.5,,,
780,15,auto,1421,312,1919,1022,1614,613,1721,690,0.541,213.6,True,TN03D9766,0.987,TN03D9766,accepted,227.5,,,
785,15,auto,1425,305,1919,1015,1614,606,1732,709,0.735,209.8,True,TN03D9766,0.975,TN03D9766,accepted,179.7,,,
790,15,auto,1425,306,1918,1017,1617,612,1729,689,0.481,238.1,True,TN03D9766,0.981,TN03D9766,accepted,181.5,,,
795,15,auto,1429,301,1918,1012,1625,607,1731,684,0.482,218.3,True,TN03D9766,0.983,TN03D9766,accepted,225.4,,,
795,26,motorcycle,942,415,1111,687,973,471,1045,502,0.325,218.3,True,,,,no_text,60.9,,,
795,26,motorcycle,942,415,1111,687,968,465,1053,505,0.309,218.3,True,,,,no_text,76,,,
800,27,motorcycle,704,448,997,876,741,544,850,578,0.611,252.4,True,23C82658,0.524,,rejected,168.1,,,
800,15,auto,1432,297,1918,1011,1636,605,1737,674,0.349,252.4,True,TN03D9766,0.989,TN03D9766,accepted,239.6,,,
800,26,motorcycle,1061,395,1221,637,1104,534,1156,569,0.27,252.4,True,,,,no_text,48.5,,,
805,28,motorcycle,963,395,1178,717,999,484,1088,523,0.683,245.6,True,,,,no_text,59.5,,,
805,28,motorcycle,963,395,1178,717,1006,589,1067,628,0.459,245.6,True,,,,no_text,64.4,,,
805,15,auto,1439,299,1919,1013,1636,603,1739,670,0.409,245.6,True,TN03D9766,0.986,TN03D9766,accepted,255.7,,,
810,27,motorcycle,818,418,1100,850,854,533,959,573,0.715,221.6,True,,,,no_text,318,,,
810,15,auto,1441,296,1919,1007,1635,598,1739,666,0.506,221.6,True,TN03D9766,0.976,TN03D9766,accepted,251.6,,,
815,27,bus,924,222,1198,505,978,447,1052,473,0.586,329.1,True,,,,no_text,169.7,,,
815,29,motorcycle,450,488,952,1078,514,642,672,699,0.435,329.1,True,,,,no_text,297,,,
815,30,auto,1444,290,1918,1004,1722,779,1839,845,0.368,329.1,True,,,,no_text,71.4,,,
815,15,auto,1444,290,1918,1004,1639,597,1744,668,0.367,329.1,True,TN03D9766,0.975,TN03D9766,accepted,260.2,,,
820,31,bus,820,201,1171,528,906,461,990,490,0.652,231.4,True,TN23AP4113,0.707,TN23AP4113,accepted,169.1,,,
820,15,auto,1448,293,1919,1006,1646,596,1754,672,0.371,231.4,True,TN03D9766,0.988,TN03D9766,accepted,197.9,,,
